,Segment,Country, Product , Discount Band ,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Discounts , Sales,COGS,Profit,Date,Month Number, Month Name ,Year
42,Government,France, VTT , None ,1527.0,20750.0,29050.0,44359350.0,0.0,44359350.0,32952660.0,11406690.0,9/1/2013,9, September ,2013
43,Small Business,France, VTT , None ,2151.0,20750.0,24900.0,53559900.0,0.0,53559900.0,44633250.0,8926650.0,9/1/2014,9, September ,2014
44,Government,Canada, VTT , None ,1817.0,20750.0,1660.0,3016220.0,0.0,3016220.0,1508110.0,1508110.0,12/1/2014,12, December ,2014
45,Government,France, Amarilla , None ,2750.0,21580.0,29050.0,79887500.0,0.0,79887500.0,59345000.0,20542500.0,2/1/2014,2, February ,2014
46,Channel Partners,United States of America, Amarilla , None ,1953.0,21580.0,996.0,1945188.0,0.0,1945188.0,486297.0,1458891.0,4/1/2014,4, April ,2014
47,Enterprise,Germany, Amarilla , None ,4219.5,21580.0,10375.0,43777312.5,0.0,43777312.5,42026220.0,1751092.5,4/1/2014,4, April ,2014
48,Government,France, Amarilla , None ,1899.0,21580.0,1660.0,3152340.0,0.0,3152340.0,1576170.0,1576170.0,6/1/2014,6, June ,2014
49,Government,Germany, Amarilla , None ,1686.0,21580.0,581.0,979566.0,0.0,979566.0,699690.0,279876.0,7/1/2014,7, July ,2014
50,Channel Partners,United States of America, Amarilla , None ,2141.0,21580.0,996.0,2132436.0,0.0,2132436.0,533109.0,1599327.0,8/1/2014,8, August ,2014
51,Government,United States of America, Amarilla , None ,1143.0,21580.0,581.0,664083.0,0.0,664083.0,474345.0,189738.0,10/1/2014,10, October ,2014
52,Midmarket,United States of America, Amarilla , None ,615.0,21580.0,1245.0,765675.0,0.0,765675.0,510450.0,255225.0,12/1/2014,12, December ,2014
53,Government,France, Paseo , Low ,3945.0,830.0,581.0,2292045.0,22920.449999999997,2269124.55,1637175.0,631949.55,1/1/2014,1, January ,2014
54,Midmarket,France, Paseo , Low ,2296.0,830.0,1245.0,2858520.0,28585.199999999997,2829934.8,1905680.0,924254.8,2/1/2014,2, February ,2014
55,Government,France, Paseo , Low ,1030.0,830.0,581.0,598430.0,5984.299999999999,592445.7,427450.0,164995.7,5/1/2014,5, May ,2014
56,Government,France, Velo , Low ,639.0,9960.0,581.0,371259.0,3712.5899999999997,367546.41000000003,265185.0,102361.41,11/1/2014,11, November ,2014
57,Government,Canada, VTT , Low ,1326.0,20750.0,581.0,770406.0,7704.0599999999995,762701.9400000001,550290.0,212411.93999999997,3/1/2014,3, March ,2014
58,Channel Partners,United States of America, Carretera , Low ,1858.0,249.0,996.0,1850568.0,18505.68,1832062.32,462642.0,1369420.32,2/1/2014,2, February ,2014
59,Government,Mexico, Carretera , Low ,1210.0,249.0,29050.0,35150500.0,351505.0,34798995.0,26111800.0,8687195.0,3/1/2014,3, March ,2014
60,Government,United States of America, Carretera , Low ,2529.0,249.0,581.0,1469349.0,14693.49,1454655.51,1049535.0,405120.51,7/1/2014,7, July ,2014
61,Channel Partners,Canada, Carretera , Low ,1445.0,249.0,996.0,1439220.0,14392.2,1424827.7999999998,359805.0,1065022.8,9/1/2014,9, September ,2014
62,Enterprise,United States of America, Carretera , Low ,330.0,249.0,10375.0,3423750.0,34237.5,3389512.5,3286800.0,102712.5,9/1/2013,9, September ,2013
63,Channel Partners,France, Carretera , Low ,2671.0,249.0,996.0,2660316.0,26603.16,2633712.84,665079.0,1968633.8399999999,9/1/2014,9, September ,2014
64,Channel Partners,Germany, Carretera , Low ,766.0,249.0,996.0,762936.0,7629.360000000001,755306.64,190734.0,564572.64,10/1/2013,10, October ,2013
65,Small Business,Mexico, Carretera , Low ,494.0,249.0,24900.0,12300600.0,123006.0,12177594.0,10250500.0,1927094.0,10/1/2013,10, October ,2013
66,Government,Mexico, Carretera , Low ,1397.0,249.0,29050.0,40582850.0,405828.5,40177021.5,30147260.0,10029761.5,10/1/2014,10, October ,2014
67,Government,France, Carretera , Low ,2155.0,249.0,29050.0,62602750.0,626027.5,61976722.5,46504900.0,15471822.5,12/1/2014,12, December ,2014
68,Midmarket,Mexico, Montana , Low ,2214.0,415.0,1245.0,2756430.0,27564.300000000003,2728865.7,1837620.0,891245.7,3/1/2014,3, March ,2014
69,Small Business,United States of America, Montana , Low ,2301.0,415.0,24900.0,57294900.0,572949.0,56721951.0,47745750.0,8976201.0,4/1/2014,4, April ,2014
70,Government,France, Montana , Low ,1375.5,415.0,1660.0,2283330.0,22833.300000000003,2260496.7,1141665.0,1118831.7,7/1/2014,7, July ,2014
71,Government,Canada, Montana , Low ,1830.0,415.0,581.0,1063230.0,10632.3,1052597.7,759450.0,293147.7,8/1/2014,8, August ,2014
72,Small Business,United States of America, Montana , Low ,2498.0,415.0,24900.0,62200200.0,622002.0,61578198.0,51833500.0,9744698.0,9/1/2013,9, September ,2013
73,Enterprise,United States of America, Montana , Low ,663.0,415.0,10375.0,6878625.0,68786.25,6809838.75,6603480.0,206358.75,10/1/2013,10, October ,2013
74,Midmarket,United States of America, Paseo , Low ,1514.0,830.0,1245.0,1884930.0,18849.3,1866080.7000000002,1256620.0,609460.7,2/1/2014,2, February ,2014
75,Government,United States of America, Paseo , Low ,4492.5,830.0,581.0,2610142.5,26101.84,2584041.4899999998,1864387.5,719653.9900000001,4/1/2014,4, April ,2014
76,Enterprise,United States of America, Paseo , Low ,727.0,830.0,10375.0,7542625.0,75426.25,7467198.75,7240920.0,226278.75,6/1/2014,6, June ,2014
77,Enterprise,France, Paseo , Low ,787.0,830.0,10375.0,8165125.0,81651.25,8083473.75,7838520.0,244953.75,6/1/2014,6, June ,2014
78,Enterprise,Mexico, Paseo , Low ,1823.0,830.0,10375.0,18913625.0,189136.25,18724488.75,18157080.0,567408.75,7/1/2014,7, July ,2014
79,Midmarket,Germany, Paseo , Low ,747.0,830.0,1245.0,930015.0,9300.15,920714.8500000001,620010.0,300704.85,9/1/2014,9, September ,2014
80,Channel Partners,Germany, Paseo , Low ,766.0,830.0,996.0,762936.0,7629.360000000001,755306.64,190734.0,564572.64,10/1/2013,10, October ,2013
81,Small Business,United States of America, Paseo , Low ,2905.0,830.0,24900.0,72334500.0,723345.0,71611155.0,60278750.0,11332405.0,11/1/2014,11, November ,2014
82,Government,France, Paseo , Low ,2155.0,830.0,29050.0,62602750.0,626027.5,61976722.5,46504900.0,15471822.5,12/1/2014,12, December ,2014
83,Government,France, Velo , Low ,3864.0,9960.0,1660.0,6414240.0,64142.399999999994,6350097.6,3207120.0,3142977.5999999996,4/1/2014,4, April ,2014
84,Government,Mexico, Velo , Low ,362.0,9960.0,581.0,210322.0,2103.22,208218.78,150230.0,57988.78,5/1/2014,5, May ,2014
85,Enterprise,Canada, Velo , Low ,923.0,9960.0,10375.0,9576125.0,95761.25,9480363.75,9193080.0,287283.75,8/1/2014,8, August ,2014
86,Enterprise,United States of America, Velo , Low ,663.0,9960.0,10375.0,6878625.0,68786.25,6809838.75,6603480.0,206358.75,10/1/2013,10, October ,2013
87,Government,Canada, Velo , Low ,2092.0,9960.0,581.0,1215452.0,12154.52,1203297.48,868180.0,335117.48,11/1/2013,11, November ,2013
88,Government,Germany, VTT , Low ,263.0,20750.0,581.0,152803.0,1528.03,151274.97,109145.0,42129.97,3/1/2014,3, March ,2014
89,Government,Canada, VTT , Low ,943.5,20750.0,29050.0,27408675.0,274086.75,27134588.25,20360730.0,6773858.25,4/1/2014,4, April ,2014
90,Enterprise,United States of America, VTT , Low ,727.0,20750.0,10375.0,7542625.0,75426.25,7467198.75,7240920.0,226278.75,6/1/2014,6, June ,2014
91,Enterprise,France, VTT , Low ,787.0,20750.0,10375.0,8165125.0,81651.25,8083473.75,7838520.0,244953.75,6/1/2014,6, June ,2014
92,Small Business,Germany, VTT , Low ,986.0,20750.0,24900.0,24551400.0,245514.0,24305886.0,20459500.0,3846386.0,9/1/2014,9, September ,2014
93,Small Business,Mexico, VTT , Low ,494.0,20750.0,24900.0,12300600.0,123006.0,12177594.0,10250500.0,1927094.0,10/1/2013,10, October ,2013
94,Government,Mexico, VTT , Low ,1397.0,20750.0,29050.0,40582850.0,405828.5,40177021.5,30147260.0,10029761.5,10/1/2014,10, October ,2014
95,Enterprise,France, VTT , Low ,1744.0,20750.0,10375.0,18094000.0,180940.0,17913060.0,17370240.0,542820.0,11/1/2014,11, November ,2014
96,Channel Partners,United States of America, Amarilla , Low ,1989.0,21580.0,996.0,1981044.0,19810.440000000002,1961233.56,495261.0,1465972.56,9/1/2013,9, September ,2013
97,Midmarket,France, Amarilla , Low ,321.0,21580.0,1245.0,399645.0,3996.45,395648.55000000005,266430.0,129218.54999999999,11/1/2013,11, November ,2013
98,Enterprise,Canada, Carretera , Low ,742.5,249.0,10375.0,7703437.5,154068.75,7549368.75,7395300.0,154068.75,4/1/2014,4, April ,2014
99,Channel Partners,Canada, Carretera , Low ,1295.0,249.0,996.0,1289820.0,25796.4,1264023.6,322455.0,941568.6000000001,10/1/2014,10, October ,2014
100,Small Business,Germany, Carretera , Low ,214.0,249.0,24900.0,5328600.0,106572.0,5222028.0,4440500.0,781528.0,10/1/2013,10, October ,2013
101,Government,France, Carretera , Low ,2145.0,249.0,581.0,1246245.0,24924.9,1221320.1,890175.0,331145.1,11/1/2013,11, November ,2013
102,Government,Canada, Carretera , Low ,2852.0,249.0,29050.0,82850600.0,1657012.0,81193588.0,61546160.0,19647428.0,12/1/2014,12, December ,2014
103,Channel Partners,United States of America, Montana , Low ,1142.0,415.0,996.0,1137432.0,22748.64,1114683.36,284358.0,830325.36,6/1/2014,6, June ,2014
104,Government,United States of America, Montana , Low ,1566.0,415.0,1660.0,2599560.0,51991.2,2547568.8,1299780.0,1247788.8,10/1/2014,10, October ,2014
105,Channel Partners,Mexico, Montana , Low ,690.0,415.0,996.0,687240.0,13744.8,673495.2,171810.0,501685.19999999995,11/1/2014,11, November ,2014
106,Enterprise,Mexico, Montana , Low ,1660.0,415.0,10375.0,17222500.0,344450.0,16878050.0,16533600.0,344450.0,11/1/2013,11, November ,2013
107,Midmarket,Canada, Paseo , Low ,2363.0,830.0,1245.0,2941935.0,58838.7,2883096.3,1961290.0,921806.3,2/1/2014,2, February ,2014
108,Small Business,France, Paseo , Low ,918.0,830.0,24900.0,22858200.0,457164.0,22401036.0,19048500.0,3352536.0,5/1/2014,5, May ,2014
109,Small Business,Germany, Paseo , Low ,1728.0,830.0,24900.0,43027200.0,860544.0,42166656.0,35856000.0,6310656.0,5/1/2014,5, May ,2014
110,Channel Partners,United States of America, Paseo , Low ,1142.0,830.0,996.0,1137432.0,22748.64,1114683.36,284358.0,830325.36,6/1/2014,6, June ,2014
111,Enterprise,Mexico, Paseo , Low ,662.0,830.0,10375.0,6868250.0,137365.0,6730885.0,6593520.0,137365.0,6/1/2014,6, June ,2014
112,Channel Partners,Canada, Paseo , Low ,1295.0,830.0,996.0,1289820.0,25796.4,1264023.6,322455.0,941568.6000000001,10/1/2014,10, October ,2014
113,Enterprise,Germany, Paseo , Low ,809.0,830.0,10375.0,8393375.0,167867.5,8225507.5,8057640.0,167867.5,10/1/2013,10, October ,2013
114,Enterprise,Mexico, Paseo , Low ,2145.0,830.0,10375.0,22254375.0,445087.5,21809287.5,21364200.0,445087.5,10/1/2013,10, October ,2013
115,Channel Partners,France, Paseo , Low ,1785.0,830.0,996.0,1777860.0,35557.2,1742302.7999999998,444465.0,1297837.8,11/1/2013,11, November ,2013
116,Small Business,Canada, Paseo , Low ,1916.0,830.0,24900.0,47708400.0,954168.0,46754232.0,39757000.0,6997232.0,12/1/2014,12, December ,2014
117,Government,Canada, Paseo , Low ,2852.0,830.0,29050.0,82850600.0,1657012.0,81193588.0,61546160.0,19647428.0,12/1/2014,12, December ,2014
118,Enterprise,Canada, Paseo , Low ,2729.0,830.0,10375.0,28313375.0,566267.5,27747107.5,27180840.0,566267.5,12/1/2014,12, December ,2014
119,Midmarket,United States of America, Paseo , Low ,1925.0,830.0,1245.0,2396625.0,47932.5,2348692.5,1597750.0,750942.5,12/1/2013,12, December ,2013
120,Government,United States of America, Paseo , Low ,2013.0,830.0,581.0,1169553.0,23391.059999999998,1146161.94,835395.0,310766.94,12/1/2013,12, December ,2013
121,Channel Partners,France, Paseo , Low ,1055.0,830.0,996.0,1050780.0,21015.6,1029764.3999999999,262695.0,767069.3999999999,12/1/2014,12, December ,2014
122,Channel Partners,Mexico, Paseo , Low ,1084.0,830.0,996.0,1079664.0,21593.280000000002,1058070.72,269916.0,788154.72,12/1/2014,12, December ,2014
123,Government,United States of America, Velo , Low ,1566.0,9960.0,1660.0,2599560.0,51991.2,2547568.8,1299780.0,1247788.8,10/1/2014,10, October ,2014
124,Government,Germany, Velo , Low ,2966.0,9960.0,29050.0,86162300.0,1723246.0,84439054.0,64006280.0,20432774.0,10/1/2013,10, October ,2013
125,Government,Germany, Velo , Low ,2877.0,9960.0,29050.0,83576850.0,1671537.0,81905313.0,62085660.0,19819653.0,10/1/2014,10, October ,2014
126,Enterprise,Germany, Velo , Low ,809.0,9960.0,10375.0,8393375.0,167867.5,8225507.5,8057640.0,167867.5,10/1/2013,10, October ,2013
127,Enterprise,Mexico, Velo , Low ,2145.0,9960.0,10375.0,22254375.0,445087.5,21809287.5,21364200.0,445087.5,10/1/2013,10, October ,2013
128,Channel Partners,France, Velo , Low ,1055.0,9960.0,996.0,1050780.0,21015.6,1029764.3999999999,262695.0,767069.3999999999,12/1/2014,12, December ,2014
129,Government,Mexico, Velo , Low ,544.0,9960.0,1660.0,903040.0,18060.8,884979.2,451520.0,433459.19999999995,12/1/2013,12, December ,2013
130,Channel Partners,Mexico, Velo , Low ,1084.0,9960.0,996.0,1079664.0,21593.280000000002,1058070.72,269916.0,788154.72,12/1/2014,12, December ,2014
131,Enterprise,Mexico, VTT , Low ,662.0,20750.0,10375.0,6868250.0,137365.0,6730885.0,6593520.0,137365.0,6/1/2014,6, June ,2014
132,Small Business,Germany, VTT , Low ,214.0,20750.0,24900.0,5328600.0,106572.0,5222028.0,4440500.0,781528.0,10/1/2013,10, October ,2013
133,Government,Germany, VTT , Low ,2877.0,20750.0,29050.0,83576850.0,1671537.0,81905313.0,62085660.0,19819653.0,10/1/2014,10, October ,2014
134,Enterprise,Canada, VTT , Low ,2729.0,20750.0,10375.0,28313375.0,566267.5,27747107.5,27180840.0,566267.5,12/1/2014,12, December ,2014
135,Government,United States of America, VTT , Low ,266.0,20750.0,29050.0,7727300.0,154546.0,7572754.0,5740280.0,1832474.0,12/1/2013,12, December ,2013
136,Government,Mexico, VTT , Low ,1940.0,20750.0,29050.0,56357000.0,1127140.0,55229860.0,41865200.0,13364660.0,12/1/2013,12, December ,2013
137,Small Business,Germany, Amarilla , Low ,259.0,21580.0,24900.0,6449100.0,128982.0,6320118.0,5374250.0,945868.0,3/1/2014,3, March ,2014
138,Small Business,Mexico, Amarilla , Low ,1101.0,21580.0,24900.0,27414900.0,548298.0,26866602.0,22845750.0,4020852.0,3/1/2014,3, March ,2014
139,Enterprise,Germany, Amarilla , Low ,2276.0,21580.0,10375.0,23613500.0,472270.0,23141230.0,22668960.0,472270.0,5/1/2014,5, May ,2014
140,Government,Germany, Amarilla , Low ,2966.0,21580.0,29050.0,86162300.0,1723246.0,84439054.0,64006280.0,20432774.0,10/1/2013,10, October ,2013
141,Government,United States of America, Amarilla , Low ,1236.0,21580.0,1660.0,2051760.0,41035.2,2010724.7999999998,1025880.0,984844.8,11/1/2014,11, November ,2014
142,Government,France, Amarilla , Low ,941.0,21580.0,1660.0,1562060.0,31241.199999999997,1530818.7999999998,781030.0,749788.8,11/1/2014,11, November ,2014
143,Small Business,Canada, Amarilla , Low ,1916.0,21580.0,24900.0,47708400.0,954168.0,46754232.0,39757000.0,6997232.0,12/1/2014,12, December ,2014
144,Enterprise,France, Carretera , Low ,4243.5,249.0,10375.0,44026312.5,1320789.79,42705523.54,42265260.0,440263.54000000004,4/1/2014,4, April ,2014
145,Government,Germany, Carretera , Low ,2580.0,249.0,1660.0,4282800.0,128484.0,4154316.0,2141400.0,2012916.0,4/1/2014,4, April ,2014
146,Small Business,Germany, Carretera , Low ,689.0,249.0,24900.0,17156100.0,514683.0,16641417.0,14296750.0,2344667.0,6/1/2014,6, June ,2014
147,Channel Partners,United States of America, Carretera , Low ,1947.0,249.0,996.0,1939212.0,58176.35999999999,1881035.6400000001,484803.0,1396232.6400000001,9/1/2014,9, September ,2014
148,Channel Partners,Canada, Carretera , Low ,908.0,249.0,996.0,904368.0,27131.04,877236.9600000001,226092.0,651144.96,12/1/2013,12, December ,2013
149,Government,Germany, Montana , Low ,1958.0,415.0,581.0,1137598.0,34127.94,1103470.06,812570.0,290900.06,2/1/2014,2, February ,2014
150,Channel Partners,France, Montana , Low ,1901.0,415.0,996.0,1893396.0,56801.880000000005,1836594.1199999999,473349.0,1363245.1199999999,6/1/2014,6, June ,2014
151,Government,France, Montana , Low ,544.0,415.0,581.0,316064.0,9481.92,306582.08,225760.0,80822.08,9/1/2014,9, September ,2014
152,Government,Germany, Montana , Low ,1797.0,415.0,29050.0,52202850.0,1566085.5,50636764.5,38779260.0,11857504.5,9/1/2013,9, September ,2013
153,Enterprise,France, Montana , Low ,1287.0,415.0,10375.0,13352625.0,400578.75,12952046.25,12818520.0,133526.25,12/1/2014,12, December ,2014
154,Enterprise,Germany, Montana , Low ,1706.0,415.0,10375.0,17699750.0,530992.5,17168757.5,16991760.0,176997.5,12/1/2014,12, December ,2014
155,Small Business,France, Paseo , Low ,2434.5,830.0,24900.0,60619050.0,1818571.5,58800478.5,50515875.0,8284603.5,1/1/2014,1, January ,2014
156,Enterprise,Canada, Paseo , Low ,1774.0,830.0,10375.0,18405250.0,552157.5,17853092.5,17669040.0,184052.5,3/1/2014,3, March ,2014
157,Channel Partners,France, Paseo , Low ,1901.0,830.0,996.0,1893396.0,56801.880000000005,1836594.1199999999,473349.0,1363245.1199999999,6/1/2014,6, June ,2014
158,Small Business,Germany, Paseo , Low ,689.0,830.0,24900.0,17156100.0,514683.0,16641417.0,14296750.0,2344667.0,6/1/2014,6, June ,2014
159,Enterprise,Germany, Paseo , Low ,1570.0,830.0,10375.0,16288750.0,488662.5,15800087.5,15637200.0,162887.5,6/1/2014,6, June ,2014
160,Channel Partners,United States of America, Paseo , Low ,1369.5,830.0,996.0,1364022.0,40920.659999999996,1323101.3399999999,341005.5,982095.84,7/1/2014,7, July ,2014
161,Enterprise,Canada, Paseo , Low ,2009.0,830.0,10375.0,20843375.0,625301.25,20218073.75,20009640.0,208433.75,10/1/2014,10, October ,2014
162,Midmarket,Germany, Paseo , Low ,1945.0,830.0,1245.0,2421525.0,72645.75,2348879.25,1614350.0,734529.25,10/1/2013,10, October ,2013
163,Enterprise,France, Paseo , Low ,1287.0,830.0,10375.0,13352625.0,400578.75,12952046.25,12818520.0,133526.25,12/1/2014,12, December ,2014
164,Enterprise,Germany, Paseo , Low ,1706.0,830.0,10375.0,17699750.0,530992.5,17168757.5,16991760.0,176997.5,12/1/2014,12, December ,2014
165,Enterprise,Canada, Velo , Low ,2009.0,9960.0,10375.0,20843375.0,625301.25,20218073.75,20009640.0,208433.75,10/1/2014,10, October ,2014
166,Small Business,United States of America, VTT , Low ,2844.0,20750.0,24900.0,70815600.0,2124468.0,68691132.0,59013000.0,9678132.0,2/1/2014,2, February ,2014
167,Channel Partners,Mexico, VTT , Low ,1916.0,20750.0,996.0,1908336.0,57250.08,1851085.9200000002,477084.0,1374001.9200000002,4/1/2014,4, April ,2014
168,Enterprise,Germany, VTT , Low ,1570.0,20750.0,10375.0,16288750.0,488662.5,15800087.5,15637200.0,162887.5,6/1/2014,6, June ,2014
169,Small Business,Canada, VTT , Low ,1874.0,20750.0,24900.0,46662600.0,1399878.0,45262722.0,38885500.0,6377222.0,8/1/2014,8, August ,2014
170,Government,Mexico, VTT , Low ,1642.0,20750.0,29050.0,47700100.0,1431003.0,46269097.0,35434360.0,10834737.0,8/1/2014,8, August ,2014
171,Midmarket,Germany, VTT , Low ,1945.0,20750.0,1245.0,2421525.0,72645.75,2348879.25,1614350.0,734529.25,10/1/2013,10, October ,2013
172,Government,Canada, Carretera , Low ,831.0,249.0,1660.0,1379460.0,41383.8,1338076.2,689730.0,648346.2,5/1/2014,5, May ,2014
173,Government,Mexico, Paseo , Low ,1760.0,830.0,581.0,1022560.0,30676.800000000003,991883.2,730400.0,261483.2,9/1/2013,9, September ,2013
174,Government,Canada, Velo , Low ,3850.5,9960.0,1660.0,6391830.0,191754.90000000002,6200075.1,3195915.0,3004160.0999999996,4/1/2014,4, April ,2014
175,Channel Partners,Germany, VTT , Low ,2479.0,20750.0,996.0,2469084.0,74072.52,2395011.48,617271.0,1777740.4800000002,1/1/2014,1, January ,2014
176,Midmarket,Mexico, Montana , Low ,2031.0,415.0,1245.0,2528595.0,101143.79999999999,2427451.2,1685730.0,741721.2,10/1/2014,10, October ,2014
177,Midmarket,Mexico, Paseo , Low ,2031.0,830.0,1245.0,2528595.0,101143.79999999999,2427451.2,1685730.0,741721.2,10/1/2014,10, October ,2014
178,Midmarket,France, Paseo , Low ,2261.0,830.0,1245.0,2814945.0,112597.79999999999,2702347.2,1876630.0,825717.2,12/1/2013,12, December ,2013
179,Government,United States of America, Velo , Low ,736.0,9960.0,1660.0,1221760.0,48870.399999999994,1172889.6,610880.0,562009.6,9/1/2013,9, September ,2013
